reference	verse	book
Genesis 23:2	Sarah died in a region named Kiriath-Arba [which is in Canaan].  Today people call Kiriath-Arba Hebron. Abraham was very sad [after Sarah died].  Abraham cried [because Sarah died].	Genesis
Matthew 25:40	_paragraph Then the king _1stAs3rd will say, ["I(king) am telling you(people) the truth]. [Whenever you(people) did these good _implicit actions for one of my(king's) least important friends/brothers-D [who are among you(people)] or one _implicit of my(king's) least important sisters-D _implicit [who are among you(people)],] you(people) did these actions for me(king)."	Matthew
1 Samuel 14:5	The northern side of the valley was near Mikmash.  And the southern side of the valley was near Geba.	1_Samuel
Joshua 9:14	Then the Israelites tasted the bread. But the Israelites did not ask Yahweh about those men.	Joshua
Nehemiah 7:5	So God caused [me(Nehemiah) to gather the rulers, officials, and all of the other people]. I(Nehemiah) gathered those people [so that all of those people could write those people's names in books]. I(Nehemiah) found the books [that the people [who first returned to Judah] wrote those people's names in]. People wrote the following things in these books [that I(Nehemiah) found].	Nehemiah
2 Samuel 14:10	King David said, ["[If a person says a bad thing to you(woman)] then (imp) you(woman) bring that person to me(David)]. Then that person will not bother you(woman) again."	2_Samuel
Matthew 26:69	(title) Peter says [Peter does not know Jesus]. _paragraph At that time Peter was sitting in the yard/courtyard of the chiefest priest _implicit. A girl [who was a servant-B of the chiefest priest _implicit] came to Peter. And that girl said, ["You(Peter) also were with Jesus [_restrictive who is from Galilee]"].	Matthew
Genesis 18:6	So Abraham walked quickly to the tent [where Sarah was sitting].  and Abraham said to Sarah, ["You(Sarah) (imp) quickly prepare fine flour quantity 20 liters]. Then you(Sarah) (imp) make bread."	Genesis
Matthew 17:5	_paragraph [While Peter was still speaking,] a bright cloud covered the followers/disciples, Jesus, Moses and Elijah. And a voice spoke from that cloud. That voice said, ["This person is my(God's) Son, [ _descriptive whom I(God) love]]. This person much pleases me(God). You(followers) (imp) listen to this person!"	Matthew
Mark 3:22	(paragraph) And the scribes [who came from Jerusalem] said, ["That man is controlled by Beelzebul!] That man uses the ruler of evil spirits'/demons' power [in-order-to force [evil spirits/demons to leave people _implicit]]."	Mark
1 Samuel 17:5	Goliath wore a bronze helmet on Goliath's head. And Goliath wore bronze armor [that weighed about 58 kilograms].	1_Samuel
