reference	verse	book
2 Samuel 15:23	All of the people [who were staying in Jerusalem] cried [while David and the people [who were following David] left the city]. Then King David and those people went across the valley-Kidron. Then David and those people walked toward the desert.	2_Samuel
Daniel 1:20	The king asked these four men very difficult questions. But these four men were always able [to answer all the questions [that the king asked the four men]]. These four men were wiser than all the magicians and all the enchanters in the country.	Daniel
2 Samuel 7:1	(title) David wants [to build a temple].  King David was living in David’s palace.  And Yahweh caused [the Israelites’ enemies to stop attacking the Israelites].	2_Samuel
Genesis 44:22	But we(Judah) said to you(Joseph), [“that boy must not leave our(Judah's) father].  [If that boy leaves our(Judah's) father] our(Judah's) father will die.”	Genesis
Daniel 3:20	Nebuchadnezzar ordered [the strongest soldiers tie Shadrach, Meshach, and Abednego with ropes]. Then Nebuchadnezzar ordered [the strong soldiers to throw Shadrach, Meshach, and Abednego into the extremely hot fire].	Daniel
Genesis 14:16	Then Abram take-away all the things [that the these 4 kings had stolen]. And Abram saved the women and the other people from these 4 kings.  Abram also saved Lot from these 4 kings.  and Abram take-away from these 4 kings all the things [that Lot owned].	Genesis
Genesis 37:34	Then Jacob was very sad.  Jacob tore Jacob's clothes. and Jacob put-on clothes [that people wear [while the people mourn]]. Jacob was very sad about Joseph for many years.	Genesis
Joshua 3:1	The people (title) go across the Jordan River.  In the morning Joshua and all of the Israelites left Acacia. And the people traveled to the Jordan River. The people camped near the river.  And the people prepared [to go across the river].	Joshua
1 Samuel 10:17	Then Samuel called all of the Israelites. And Samuel told the Israelites [to come to Mizpah [in order to meet Yahweh]].	1_Samuel
Joshua 8:20	The soldiers [that were from Ai] looked at the soldiers’ city. And the soldiers saw [smoke rising from the soldiers' city]. The Israelite soldiers [that were running toward the desert] immediately turned around.  And the Israelite soldiers started running toward the soldiers [that were from Ai]. The soldiers [that were from Ai] were not able [to escape from the Israelites].	Joshua
Genesis 27:37	Isaac answered Esau, ["I(Isaac) already caused [Jacob to be master of you(Esau)]]. All the brothers of Jacob will be the servants of Jacob. And God will bless Jacob [by God giving much grain and much wine to Jacob]. I(Isaac) do not have any thing [that I(Isaac) am able [to give to you(Esau)]]."	Genesis
Genesis 7:23	Thus God destroyed all the things [that lived on the land].  God destroyed all the people, all the animals, and all the birds.  Only Noah and the family of Noah were living in the boat.	Genesis
Matthew 27:9	Then the things-C [that God said through the person [who tells God's messages to people] named Jeremiah] happened/be-fulfilled. That person/prophet _implicitNecessary said _implicitNecessary, ["Those people _differentNounIndex took the 30 silver coins]. For the people _DifferentNounIndex of Israel decided [that the price of that man was/equaled that amount of money _implicit].	Matthew
Genesis 22:10	Then Abraham pick-up Abraham's knife. and Abraham was ready [to kill Abraham's son].	Genesis
Matthew 27:13	(yesrhetorical) Then Pilate asked Jesus, ["Do you(Jesus) hear the bad _implicit things-C [that those priests and those old leaders are saying/testifying about you(Jesus)]?"] (statement) Then Pilate said to Jesus, ["You(Jesus) hear the bad _implicit things-C [that those priests and those old leaders are saying/testifying about you(Jesus)]"].	Matthew
1 Samuel 26:23	Yahweh rewards every person [who does good things]. And Yahweh rewards every person [who loves Yahweh]. Today Yahweh allowed [me(David) to kill you(Saul)]. But I(David) will not hurt the king [that Yahweh chose].	1_Samuel
Mark 9:5	(paragraph) Then Peter said to Jesus, ["Rabbi , I(Peter) am glad [because we(followers) _excl are here]]. We(men) _excl set-up _suggestiveLets 3 shelters. 1 shelter will be for you(Jesus). 1 shelter _otherThinglist will be for Moses. And 1 shelter _otherThinglist will be for Elijah ." (footnote) Rabbi named the word _implicitType of Hebrew means-C teacher.	Mark
Genesis 14:19	Then Melchizedek blessed Abram. and Melchizedek said, ["I(Melchizedek) pray that [God-Most-High [who created the heaven and the earth] will bless you(Abram)]].	Genesis
Genesis 18:7	Then Abraham ran to Abraham's herd of cows. and Abraham chose a young cow [that was very fine]. Abraham brought that cow to a servant.  The servant quickly killed the cow.  and the servant cooked the meat of the cow for the 3 men.	Genesis
Matthew 23:16	_paragraph You(scribes), leaders [who are not able [to see]], you(scribes) will much suffer! You(scribes) say, ["[If a person promises/swear to God _implicit [that person will do an action] by the big building _instrument of Jerusalem _implicit [that Jews honor/worship God in],] a person does not need [to do that action _frameInferable]]. But [if a person promises/swear to God _implicit [that person will do an action] by the gold _madeOf things-A _instrument [that are in that building/temple],] a person must do an action."	Matthew
Joshua 24:6	[When I(Yahweh) brought your(Israelites') fathers from Egypt] your(Israelites') fathers came to the sea-Red.  Then the Egyptians chased your(Israelites') fathers. The Egyptians were riding chariots and horses.	Joshua
2 Samuel 2:8	(title) David's army fights Saul's army.  A man named Abner was the son of Ner. Abner was the captain of Saul's army. [After Saul  died (implicit-info)] Abner took Saul's son named Ish-Bosheth to Mahanaim.	2_Samuel
Daniel 6:24	Then the king ordered [the king's servants to bring the men [who had accused [Daniel of breaking the law]] to the pit]. So the servants brought those men, the wives of those men, and the children of those men to the pit. Then the servants threw those men, the wives of those men, and the children of those men into the pit [that the lions were in]. The lions immediately attacked those people. The lions ate those people very quickly.	Daniel
Matthew 17:8	[When the followers/disciples look-up,] the followers/disciples did not see people except Jesus. (implicit-situational) Moses and Elijah were not there.	Matthew
Mark 14:56	For many people said false things-C [that were about Jesus]. But each person said a different thing-C.	Mark
Genesis 15:11	Later vulture tried [to eat these animals]. but Abram chase-away the vulture.	Genesis
Mark 2:13	Jesus (title) calls Levi . (paragraph) Jesus go-out from that place _implicit again to the shore of the lake named Galilee _implicit. A big crowd of people was coming to Jesus. And Jesus was teaching that crowd .	Mark
2 Samuel 20:10	Amasa did not see the knife/dagger [that Joab was holding with Joab's left hand]. Then Joab pushed that knife/dagger into Amasa's stomach. Amasa's intestines fell to the ground. Amasa died quickly. Then Joab and Joab's brother named Abishai continued chasing Sheba.	2_Samuel
1 Samuel 10:20	Then Samuel told [each tribe of Israel to walk in-front-of Samuel]. And Samuel used lots.  Then Yahweh chose the tribe named Benjamin.	1_Samuel
Joshua 18:21	The tribe named Benjamin owned the towns named Jericho, Beth-Hoglah, and Emek-Keziz.	Joshua
Joshua 19:3	And the tribe named Benjamin owned the towns named Hazar-Shual, Balah, and Ezem.	Joshua
Genesis 37:6	Joseph said to Joseph's brothers, ["You(brothers) (imp) listen to me(Joseph)].  I(Joseph) dreamed yesterday night.	Genesis
Genesis 32:6	[After these messengers spoke to Esau] these messengers returned to Jacob.  and these messengers said to Jacob, ["We(people) went to your(Jacob's) brother named Esau]. Esau is coming to this place now [in-order-to Esau meet you(Jacob)].  And 400 men are coming with Esau".	Genesis
Genesis 50:25	Then Joseph said to Joseph's brothers, ["You(brothers) (imp) promise me(Joseph) [that you(brothers) will carry my(Joseph's) bones from Egypt]]."	Genesis
Acts 16:4	[When Paul, Silas, and Timothy traveled to other towns], Paul, Silas, and Timothy told people [who believe in Jesus] about the message [that the apostles and elders [who live in Jerusalem] said]. And Paul, Silas, and Timothy told all the people [that they must obey that message].	Acts
Matthew 26:45	_paragraph Then Jesus returned to those 3 followers/disciples. (implicit-situational) Those followers/disciples were sleeping again. (yesrhetorical) And Jesus asked those followers/disciples, ["Are you(followers) still sleeping?] (statement) And Jesus said to those followers/disciples, ["You(followers) are still sleeping]. (yesrhetorical) And are you(followers) still resting? (statement) And you(followers) are still resting. You(followers) (imp) look/behold. The time [when the Son-of-man _1stAs3rd is given/betrayed to people [who do bad-B actions] by a person _implicitActiveAgent] is now.	Matthew
Genesis 25:13	Ishmael had sons named Nebaioth, named Kedar, named Adbeel and named Mibsam.  Nebaioth was the oldest son of Ishmael.	Genesis
Genesis 36:24	Zibeon had sons named Aiah and named Anah. Anah found the hot springs [that are in the desert] [while Anah was caring for the donkeys of Anah's father].	Genesis
Acts 1:13	[After the apostles entered the city] the apostles went to the room [that the apostles were staying in].  The apostles [who were in that room] were Peter, John, James, Andrew, Philip, Thomas, Bartholomew, Matthew, James [who was Alphaeus’ son], Simon [who people called Zealot], and Judas [who was the son of James].	Acts
Mark 4:16	Similarly, _implicit other people are like the ground [that had many stones] [and that seeds are scattered by the person/farmer _implicitActiveAgent on]. Those people hear God's _implicit message. And those people receive that message happily/joyfully.	Mark
Genesis 23:7	So Abraham stand-up.  and Abraham bowed to the Hittites.	Genesis
Genesis 31:26	-Implicit Then Laban went to Jacob.  And Laban said to Jacob, ["You(Jacob) tricked me(Laban)!]  You(Jacob) stole my(Laban's) daughters [just-like a soldier captures a prisoner during a war!]	Genesis
Joshua 4:21	Then Joshua said to the Israelites, ["your(Israelites') descendants will ask your(Israelites') descendants' fathers after many years Why are these stones at this place?]	Joshua
Acts 15:6	Then the apostles and elders met each-other (apostles) to talk about this problem.	Acts
2 Samuel 13:9	Then Tamar brought that bread to Amnon. But Amnon refused [to eat that bread].Amnon said to Amnon's servants, ["(imp) You(servants) leave my(Amnon’s) room]." So Amnon's servants left that room.	2_Samuel
