reference	verse	book
Acts 16:2	Those people [who believe in Jesus] [and who live in Lystra and Iconium] said good things about Timothy to Paul.	Acts
Joshua 11:12	Joshua defeated all of the people [who lived in those cities].  And Joshua killed all of the kings [who ruled those cities]. Joshua completely destroyed all of those people.  So Joshua obeyed Moses. Previously Moses commanded [Joshua to destroy all of those cities].	Joshua
Genesis 14:21	The king of Sodom said to Abram, ["you(Abram) (imp) give only my(king's) people [who were captured by the four kings] to me(king)]. But You(Abram) may keep all these other things."	Genesis
Genesis 43:25	Then the brothers heard [that Joseph will eat with the brothers in that house]. So Joseph's brothers prepared the gifts [that the brothers wanted [to give to Joseph]].	Genesis
Mark 6:48	Jesus saw [those followers/disciples trying hard _adverb [to move/row the boat]]. But the wind was blowing from the place [that was in front of the boat]. (literalunits) At about the fourth period/watch _PeriodinLDV of the night, Jesus came toward those followers/disciples [by walking on the lake]. (modernunits) At about 3AM, Jesus came toward those followers/disciples [by walking on the lake]. And Jesus planned [to walk past those followers/disciples].	Mark
Genesis 2:3	Therefore God blessed the seventh day of every week.  God caused [the seventh day of every week to be holy] [because God rested on the seventh day].  God did not work on the seventh day.	Genesis
Genesis 1:30	And I(God) created all the green plants for the animals.  All the birds [that are in the sky], all the wild animals and all the small animals will eat the green plants."  Thus God created all the things [that are on the earth].  All the things [that God had created] were good.	Genesis
Acts 20:23	I(Paul) only know [that the Holy Spirit warns me(Paul) [that people will put me(Paul) into prison] [and people will hurt me(Paul) in every city [that I(Paul) am traveling to]]].	Acts
Genesis 48:5	I(Jacob) declare [that the 2 sons of you(Joseph) [who were born in Egypt [before I(Jacob) arrived]] are my(Jacob's) sons.] Ephraim and Manasseh will be my(Jacob's) sons [just-like Reuben and Simeon are my(Jacob's) sons].	Genesis
Nehemiah 4:2	Sanballat said to Sanballat's friends and the soldiers [that were from Samaria], ["Those weak Jews are doing which thing?] Will those Jews repair the Jews’ wall?  Will those Jews give gifts/sacrifices to God? Will those Jews finish building that wall in one day? Those Jews are using stones [that were burned by fire]. Will those Jews use those stones again?"	Nehemiah
Genesis 41:48	So Joseph gathered much food [that the people harvested].  And Joseph stored that food in the cities. For each city [that was in Egypt] Joseph stored grain [that the people harvested in the fields [that were near that city]] in that city.	Genesis
Genesis 37:35	Jacob's sons and Jacob's daughters tried [to comfort Jacob]. but Jacob continued being sad. Jacob said, ["I(Jacob) will be sad about Joseph [until I(Jacob) die]]." Thus Jacob cried [because Jacob's son named Joseph died].	Genesis
Mark 3:29	But [if a person much insults the Holy-Spirit,] that person will never be forgiven-C by God _implicitActiveAgent. That person is forever/eternally guilty-B [person doing a sin ]."	Mark
Mark 9:48	(implicit-situational) For people never stop suffering in hell-A. The Scriptures _implicitNecessary say, _implicitNecessary ["Hell-A is the place [where the worms [that eat people] never die] [and where the fire always burns]"]. (footnote) You(people) (imp) see Isaiah 66:24.	Mark
Genesis 24:49	Therefore I(servant) ask you(Laban), ["Will you(Laban) be kind to my(servant's) master?]  Will you(Laban) be faithful to my(servant's) master? Will you(Laban) allow [Rebekah to return with me(servant) to my(servant’s) master]? You(Laban) (imp) answer me(servant) now.  Then I(servant) will know the things [that I(servant) must do].	Genesis
Daniel 7:25	That king will say evil things about God. And that king will punish the people [who are faithful to God]. That king will try [to change the times and the law]. That king will rule God's people for three and a half years.	Daniel
1 Samuel 2:14	Then that servant pushed the fork inside the pot. [When the servant pulled the fork out of the pot] the servant kept the meat [that was on that fork]. And the servant gave that meat to Eli's sons. So Eli’s sons treated the people [who came to Shiloh] badly.	1_Samuel
Mark 1:6	John wore clothes of _madeOf animal’s/camel’s hair. And John wore a belt of _madeOf leather around John’s waist. John ate insects/locusts and wild honey. (implicit-situational) This food was food [that John could find in the desert/wilderness].	Mark
Mark 4:23	You(people) [who have ears [in-order-to hear things _implicit ]], you(people) (imp) listen to these words."	Mark
2 Samuel 1:14	Then David said to that man, ["You(man) should not have killed Saul]. Yahweh chose [Saul to be our(Israelites’) king]. "	2_Samuel
Matthew 4:13	Jesus left Nazareth. And Jesus went to Capernaum named the town [in order to live at that place [ _descriptive which was by the big _implicit lake in the region named Zebulun and Naphtali]].	Matthew
2 Samuel 16:2	Then David asked Ziba, ["Why did you(Ziba) bring these things?"]Ziba answered David, ["Your(David's) family may ride these donkeys]. And your(David's) servants may eat the bread and the cakes. [If people become tired in the desert]those people may drink the wine."	2_Samuel
2 Samuel 8:13	Later David killed 18000 Edomites in the valley named Salt. [After David killed those people] many   people heard about the things [that David did].	2_Samuel
1 Samuel 2:22	Eli became very old. Eli heard about all of the bad things [that Eli's sons were doing to the Israelites]. Eli also knew [that Eli's sons often sexed the women [who served Yahweh near the tabernacle]].	1_Samuel
Genesis 2:5	-title Adam and Eve live in Eden. At that time there were no plants on the earth.  At that time God did not cause [the weather to be rain].  And God did not create people [who would care for the plants].	Genesis
